"STATION_ID;""SITE_NAME"";""ZDALY_GAS_BRAND"";""ADDRESS"";""CITY"";""STATE"";""ZIP"";""COUNTY_NAME"";""PRICING_ZONE"";""CLUSTER_MEDIAN_PRICE"";""CLIENT_MARKET_PRICE"";""LATITUDE"";""LONGITUDE"""
"13716;""6255 | (San Juan)"";Petro 7;Avenida Lázaro Cárdenas No. 4183;Zapopan;Jalisco;""45042"";ZM Guadalajara;""1_Jali_co"";8.62;8.83;20.67408;-103.4122"
"465;""7359 | (Tec Guadalajara)"";Petro 7;Carretera a Base Aérea Militar No. 3353;Zapopan;Jalisco;""45140"";ZM Guadalajara;;;;;"
"8625;""6268 | (Domingo Diez (Servicio Altea))"";Petro 7;Avenida Domingo Diez 1302;Cuernavaca;Morelos;""62230"";ZM Cuernavaca;""1_More_os"";7.7;7.7;18.951;-99.23521"
"23043;""6202 | (Autopista Acapulco - Cuernavaca)"";Petro 7;Autopista Del Sol Mexico - Acapulco Km. 38.730;Temixco;Morelos;""62583"";ZM Cuernavaca;""0_More_os"";7.46;7.46;18.85645;-99.22026"
"484;""6135 | (San Mateo con San Juan Bosco)"";Petro 7;Calzada San Mateo No. 42;Atizapán De Zaragoza;México;""52946"";ZM Valle de México;""3_Méxi_co"";8.21;8.21;19.56659;-99.2421"
"553;""6200 | (Bodegas)"";Petro 7;Vía José López Portillo Km 26.50 S/N Esquina Canosas;Coacalco De Berriozábal;México;""55715"";ZM Valle de México;""0_Méxi_co"";8.59;8.4;19.63609;-99.10677"
"598;""6199 | (Eje 8)"";Petro 7;Vía José López Portillo S/N Esquina Eje Carlos Pichardo Cruz;Coacalco De Berriozábal;México;""55715"";ZM Valle de México;""0_Méxi_co"";8.59;8.59;19.6322;-99.0914"
"1278;""6100 | (Futbol San Marcos)"";Petro 7;Avenida Chalma S/N Esquina Avenida Paseo de Las Haciendas Lt. 6;Cuautitlán Izcalli;México;""55450"";ZM Valle de México;""1_Méxi_co"";8.165;8.03;19.67064;-99.2061"
"574;""6083 | (Santa Clara)"";Petro 7;Avenida Vía Morelos No. 322-A.;Ecatepec De Morelos;México;""55450"";ZM Valle de México;""0_Méxi_co"";8.59;8.7;19.54947;-99.05198"
"435;""6060 | (Circunvalación)"";Petro 7;Vía Dr. Gustavo Baz No. 46;Naucalpan De Juárez;México;""53000"";ZM Valle de México;""2_Méxi_co"";8.44;8.44;19.47735;-99.23218"
"2921;""4001 | Colin"";Petro 7;Carretera Zumpango - Apaxco No. 1 Esquina Crucero a Santa María Cuevas;Tequixquiac;México;""55610"";ZM Valle de México;;;;;"
"431;""6154 | (Santa Rosa)"";Petro 7;Avenida Santa Rosa No. 18;Tlalnepantla De Baz;México;""54160"";ZM Valle de México;""3_Méxi_co"";8.21;8.11;19.52987;-99.17842"
"430;""6082 | (Gustavo Baz)"";Petro 7;Avenida Gustavo Baz No. 2000;Tlalnepantla De Baz;México;""54030"";ZM Valle de México;""3_Méxi_co"";8.21;8.26;19.54421;-99.20648"
"499;""6081 | (Tultitlan)"";Petro 7;Tultitlán Poniente Esquina Independencia;Tultitlán;México;""54900"";ZM Valle de México;""1_Méxi_co"";8.165;8.3;19.63085;-99.16546"
"464;""8752 | (Las Boquillas)"";Petro 7;Carretera Nacional S/N Esquina Camino a Las Boquilla;Allende;Nuevo León;""67350"";Nuevo León;""45_Nuev_ón"";9.44;9.44;25.28464;-100.0302"
"581;""8892 | (Aeropuerto del Norte)"";Petro 7;Carretera a Laredo No. 3364 Km 21+176;Apodaca;Nuevo León;""66600"";ZM Monterrey;""40_Nuev_ón"";1.66;1.66;25.86027;-100.2367"
"487;""6091 | (Aeropuerto del Norte II)"";Petro 7;Carretera a Laredo Km 20;Apodaca;Nuevo León;""66600"";ZM Monterrey;""40_Nuev_ón"";1.66;1.66;25.85541;-100.24"
"621;""6112 | (Campo Militar)"";Petro 7;Carretera Monterrey - Laredo Km 19.8;Apodaca;Nuevo León;""66604"";ZM Monterrey;""40_Nuev_ón"";1.66;1.81;25.84843;-100.245"
"526;""6137 | (Barragan y Cipres)"";Petro 7;Ma. Concepción Barragán No. 203;Apodaca;Nuevo León;""66635"";ZM Monterrey;""32_Nuev_ón"";8.5;8.25;25.76571;-100.2573"
"596;""7427 | (Real Mezquital)"";Petro 7;Avenida Constitución S/N;Apodaca;Nuevo León;""66632"";ZM Monterrey;""32_Nuev_ón"";8.5;8.71;25.76412;-100.243"
"526;""6137 | (Barragan y Cipres)"";Petro 7;Ma. Concepción Barragán No. 203;Apodaca;Nuevo León;""66635"";ZM Monterrey;""35_Nuev_ón"";8.53;8.31;25.76571;-100.2573"
